@relation data_test2

@attribute SecteurActivite {industrie,etudes,transport,agroalimentaire,hotellerie,informatique,commerce,administration,btp,finance,communication,agriculture,sante,juridique,immobilier,agences,enseignement,services_generaux}
@attribute TypeContrat {CDI,CDD,Interim,Freelance,Autre,Stage}
@attribute Teletravail {oui,non,hybride}
@attribute ville {casablanca,meknès,marrakech,al_hoceima,agadir,rabat,kénitra,béni_mellal,tanger,oujda,maroc,tan_tan,fès,settat,laâyoune,inconnu,indifférente}
@attribute Classification {Attrayante,NonAttrayante,Domaine_Attractif_mais_Sans_Teletravail,Domaine_Attractif_mais_Contrat_Temporaire}

@data
informatique,CDI,non,casablanca,Domaine_Attractif_mais_Sans_Teletravail
services_generaux,CDI,non,agadir,NonAttrayante
informatique,CDI,hybride,rabat,Attrayante
industrie,CDI,non,casablanca,NonAttrayante
informatique,CDI,hybride,rabat,Attrayante
services_generaux,CDI,non,maroc,NonAttrayante
informatique,CDI,hybride,rabat,Attrayante
informatique,CDI,non,casablanca,Domaine_Attractif_mais_Sans_Teletravail
services_generaux,CDI,non,rabat,NonAttrayante
enseignement,CDI,non,rabat,NonAttrayante
etudes,CDI,non,casablanca,NonAttrayante
agroalimentaire,CDI,hybride,casablanca,NonAttrayante
informatique,Stage,non,casablanca,Domaine_Attractif_mais_Sans_Teletravail
services_generaux,CDI,non,marrakech,NonAttrayante
enseignement,CDI,non,marrakech,NonAttrayante
enseignement,Stage,non,casablanca,NonAttrayante
services_generaux,CDI,non,casablanca,NonAttrayante
informatique,CDI,non,casablanca,Domaine_Attractif_mais_Sans_Teletravail
agroalimentaire,CDD,non,fès,NonAttrayante
administration,CDI,non,casablanca,NonAttrayante
informatique,CDI,hybride,casablanca,Attrayante
services_generaux,Autre,non,casablanca,NonAttrayante
industrie,CDI,non,casablanca,NonAttrayante
commerce,CDI,non,casablanca,NonAttrayante
communication,CDI,non,casablanca,NonAttrayante
services_generaux,Autre,non,kénitra,NonAttrayante
informatique,CDI,hybride,rabat,Attrayante
informatique,CDI,hybride,casablanca,Attrayante
finance,CDI,non,casablanca,Attrayante
industrie,CDI,non,fès,NonAttrayante
industrie,CDI,hybride,casablanca,NonAttrayante
informatique,CDI,non,casablanca,Domaine_Attractif_mais_Sans_Teletravail
informatique,CDI,hybride,rabat,Attrayante
finance,CDI,non,rabat,Attrayante
etudes,CDI,non,rabat,NonAttrayante
transport,CDI,non,casablanca,NonAttrayante
